id_l1,NGC,TAREA,V,NV,WT,F,NF,SO,SC,HG,HF,Aw,Fb,Fd,Pb,Pl,Sw,SP1,SP2,SP3,SP4,SP5,PCT1,PCT2,PCT3,PCT4,PCT5,BPH,TPH,QMD,MVOL,MVOL2,GVOL,GVOL2,HLOR,HLW,HD,CCF,CC,SI,AGE,BHAGE,AWSI,PLSI,SWSI,SIAREA
1597416,2,699.875,100,0,0,0,100,55,45,0,0,1,1,0,0,88,10,Pl,Sw,NA,NA,NA,90,10,0,0,0,2.8088,56.82132,25.087639,6.726338,19.220051,13.173902,21.538951,17.682873,1,19.808018,15.678002,13.431798,13.007596,103,95,20.236737,16.038079,16.548023,699.875
1595237,20,6798.375,100,0,0,100,0,0,0,0,0,0,6,0,0,44,49,Sw,Pl,Fb,NA,NA,50,44,6,0,0,31.787762,736.54497,23.4415,270.238511,248.613969,390.017202,274.997816,18.311571,1,20.512274,194.111588,83.234158,8.977658,129,117,17.134696,11.375951,8.384187,6798.375
1595223,2,557.5,100,0,0,45,55,0,55,0,0,0,2,0,0,94,4,Pl,NA,NA,NA,NA,100,0,0,0,0,8.209057,188.469155,23.549492,31.088535,40.902646,54.002766,51.533824,13.859,1,15.524589,25.000821,20.54724,10.024014,95,85,17.038575,9.755023,9.252097,557.5
1598076,3,1007.25,100,0,0,100,0,0,0,0,0,0,1,0,0,58,41,Pl,Sw,NA,NA,NA,59,41,0,0,0,19.711598,1022.489743,15.667023,84.242664,64.31589,329.230529,111.401375,11.47596,1,12.855153,51.05947,37.483966,9.933826,70,60,19.699181,12.354937,3.437129,1007.25
1591812,21,7106.5,100,0,0,100,0,0,0,0,0,0,0,0,0,99,1,Pl,NA,NA,NA,NA,100,0,0,0,0,26.140365,1425.434598,15.280488,109.723606,83.588792,315.134465,148.956673,11.243559,1,12.594821,83.089687,53.439848,9.925929,68,58,16.626458,11.836662,8.024165,7106.5
1591818,1,408.25,0,100,0,0,0,0,0,0,0,0,0,0,0,90,10,Pl,Sw,NA,NA,NA,90,10,0,0,0,25.783513,647.471228,22.517277,197.054518,170.351043,477.619612,203.39263,16.840326,1,18.864214,69.139015,47.063597,12.929635,93,85,20.190302,14.917132,9.713799,408.25
1595253,6,2079.5,100,0,0,100,0,0,0,0,0,0,1,0,0,68,31,Pl,Sw,NA,NA,NA,69,31,0,0,0,37.408788,1232.677999,19.656992,275.550593,232.324182,461.198876,303.688637,16.697595,1,18.704329,114.59384,65.155097,12.025218,104,95,21.064589,12.630442,8.303591,2079.5
1597274,2,618.125,55,45,0,55,0,0,0,0,0,0,3,0,0,33,64,Sw,Pl,NA,NA,NA,66,34,0,0,0,14.253413,840.818331,14.691407,47.381117,34.344692,156.619799,68.552999,9.602148,1,10.756144,108.470482,63.135768,7.105757,74,60,14.672191,10.068632,5.285402,618.125
1475429,1,515.656199,100,0,0,100,0,0,0,0,0,0,0,0,0,95,5,Pl,Sw,NA,NA,NA,95,5,0,0,0,16.086626,464.688505,20.99455,120.581748,100.017607,249.482535,126.823815,17.602623,1,19.718123,69.23844,47.111996,12.012224,119,110,19.360829,13.352433,9.063833,515.656199
1475430,1,22.632757,100,0,0,0,100,100,0,0,0,28,11,1,0,59,1,Pl,Aw,Fb,NA,NA,60,29,11,0,0,6.635562,471.991508,13.379098,2.905957,3.715087,7.977549,12.504562,2.922248,1,3.273447,400,97.477703,7.193857,25,12,13.499941,8.488282,22.218672,22.632757
1475431,36,12931.55613,64,36,0,58,6,0,0,3,3,0,8,1,0,54,37,Sw,Pb,Fb,NA,NA,55,37,8,0,0,12.316491,304.80357,22.682375,68.667515,68.87283,120.436645,82.319184,14.570228,1,16.321292,88.873734,55.852697,9.975934,106,96,13.705187,8.715058,6.529528,12931.55613
